text,user,created_at
@JoelCorry @bcmmallorca Nice one bro. See you at creamfields,example,2022-07-16 00:01:03+00:00
RT @example: Some amazing moments from @TRNSMTfest in Glasgow on Saturday 🏴󠁧󠁢󠁳󠁣󠁴󠁿💙 https://t.co/RpYRAoIhtd,example,2022-07-12 21:36:18+00:00
All that matters is whoever was there had a lot of fun together 💙 https://t.co/RvG152NTXA,example,2022-07-12 20:56:08+00:00
"More action from @TRNSMTfest 

I work my arse off every day to still be able to do this for a living, so I don’t feel lucky. But I gotta admit this still feels surreal after all these years. And I am very grateful to everyone who still supports 💙🏴󠁧󠁢󠁳󠁣󠁴󠁿

🎥 @brisbanecameron https://t.co/bIqlPFENui",example,2022-07-12 18:00:32+00:00
Some amazing moments from @TRNSMTfest in Glasgow on Saturday 🏴󠁧󠁢󠁳󠁣󠁴󠁿💙 https://t.co/RpYRAoIhtd,example,2022-07-12 17:09:30+00:00
"GLASGOW - I am here 🏴󠁧󠁢󠁳󠁣󠁴󠁿

At @TRNSMTfest today. Well, right now 

My favourite city in the world for gig

On the main stage at 2:15pm",example,2022-07-09 11:40:35+00:00
In case you missed this this morn https://t.co/UWTIHR6OIM,example,2022-07-08 18:29:05+00:00
Stream this and the rest of my brand new album ‘We May Grow Old But We Never Grow Up’ on your favourite music streaming service now,example,2022-07-08 10:59:27+00:00
The full official video for ‘ORIGINAL’ is on YouTube now https://t.co/gGm2AE0ukV https://t.co/4Bu4T32NeQ,example,2022-07-08 10:59:10+00:00
In case you missed it last night : https://t.co/8BDAnAhxS7,example,2022-07-05 12:20:04+00:00
@Plastician @I_Skream He’s right though. Some of your switch ups are mindboggling and you always play a handful of tunes I’ve never heard of across about 27 genres in an hour 🤣,example,2022-07-05 09:18:04+00:00
"Silverstone last Thursday. Can’t thank you all enough for making that a really special moment for me and all my team. A career highlight. 

The footage speaks for itself. 🏆🥰 @SilverstoneUK @F1 https://t.co/o550evjrkW",example,2022-07-04 21:15:53+00:00
This would be a broken metatarsal waiting to happen 🤮 https://t.co/9W7ZsVXd3i,example,2022-07-03 14:28:09+00:00
"Rave in a forest anyone ?
@electricwoodfst that was WILD yesterday 🥰 https://t.co/3DDd8qGtRd",example,2022-07-03 11:25:57+00:00
I mean 🤯🤯 but thank you very much mate. I put everything into my live shows 🏆🥵 https://t.co/eyC6vd8BPo,example,2022-07-02 12:00:41+00:00
Pretty decent this job of mine 🤯 Long may it continue … https://t.co/5LnQppT2hu,example,2022-07-01 21:02:02+00:00
"Silverstone last night. Opening gig of the F1 weekend. 

What a crowd. You guys are the benchmark now for the rest of the summer. Can’t thank you all enough 😘

📷 @callumshots https://t.co/X27SDavxXV",example,2022-07-01 20:49:17+00:00
"RT @example: “How’s the 16 year career in music going Elliot?”

Wellllll …. 🤣🤣🤯🤯

Thanks so much everyone at @SilverstoneUK tonight. That w…",example,2022-07-01 19:51:16+00:00
RT @M97ML: .@example at @SilverstoneUK is unreal 🔥🔥🔥,example,2022-06-30 21:40:10+00:00
"RT @Johnners96: Honestly, @example smashed it out of the park at @SilverstoneUK tonight, absolutely brilliant stuff! 🔥🔥",example,2022-06-30 21:39:43+00:00
RT @jamescrockart: At Silverstone for the weekend with @jonesd74 and just watched to @example. Absolutely superb 👏👏 Got me in the mood for…,example,2022-06-30 21:39:25+00:00
"“How’s the 16 year career in music going Elliot?”

Wellllll …. 🤣🤣🤯🤯

Thanks so much everyone at @SilverstoneUK tonight. That was a bit overwhelming 😘 https://t.co/I9GApM2bIW",example,2022-06-30 21:39:17+00:00
RT @JamieDL1997: The new @example album hits differently sorry. Can't stop listening to it.✅,example,2022-06-27 07:42:15+00:00
This 🔻🔻 https://t.co/cPpr4sIGkY,example,2022-06-27 07:41:58+00:00
@SparkusPNut 🤣🤝,example,2022-06-24 02:13:15+00:00
@solardomusic Don’t hate. Her recent Fabric Live was legit,example,2022-06-24 02:12:49+00:00
@RunningPayton Agreed,example,2022-06-23 21:02:13+00:00
It’s been sixteen years since my first album. This week it seems my 8th album is really causing a bit of a stir. I can’t thank you all enough. El x https://t.co/n1MCSkRyH4,example,2022-06-22 15:53:19+00:00
@IamPineros Thanks again mate !,example,2022-06-21 14:52:07+00:00
One of my favourite interviews of my career. Give it 5mins if you feel like it https://t.co/yGllOk7PvX,example,2022-06-21 14:49:33+00:00
@tottenham16 @char_bedders @WebDevKevB Did you guys see my insta stories ? Next time I’m on tour people can use the lanyard + CD to come backstage in the venue (of their choice) and get anything they want signed + take a selfie. Apologies again for the mix up,example,2022-06-21 07:14:50+00:00
"The only ticketed exclusive album performance + all the hit singles gig im doing this year 

https://t.co/fTXncXgte6 https://t.co/mn7nJomhpD",example,2022-06-21 07:12:32+00:00
"RT @example: THE BIG FOUR-O 🎂

Apparently life begins right now !? https://t.co/2y1btYH8WM",example,2022-06-20 13:18:51+00:00
"RT @example: ‘Original’ - taken from my new album ‘We May Grow Old But We Never Grow Up’ - OUT NOW

Click here to listen to the full track…",example,2022-06-20 13:18:47+00:00
RT @AndiDurrant: New @example album is really really good. Lyrically incredible. Some absolutely mental references in there as well. Love i…,example,2022-06-20 11:03:02+00:00
@AndiDurrant 🎉😉,example,2022-06-20 11:02:55+00:00
@jbux10 💙😘,example,2022-06-20 11:02:43+00:00
"THE BIG FOUR-O 🎂

Apparently life begins right now !? https://t.co/2y1btYH8WM",example,2022-06-20 10:20:24+00:00
@lee1ngham @char_bedders @Laurenmiles_xo You’ll get looked after don’t worry,example,2022-06-19 12:25:26+00:00
"@Gareth_Standing I’ll take that

Evolution Of Man was my personal favourite. Until this latest one …",example,2022-06-19 12:24:48+00:00
RT @Gareth_Standing: New Example album slaps! Pure summer vibes. 🌞🎶 Best work since Evolution of Man. @example,example,2022-06-19 12:24:25+00:00
I mean we were hoping people would enjoy the free hopscotch… but not going viral as fuck from a hilarious tweet https://t.co/Mp607tNLjg,example,2022-06-19 12:23:59+00:00
🥰☺️ thank you. And everybody else who’s listening to my new one https://t.co/Hm2LuRl5RT,example,2022-06-19 02:42:20+00:00
RT @Mike_ODowd: Grow up never but we old may grow we https://t.co/DFHIpPdzXs,example,2022-06-19 01:22:53+00:00
RT @luke_tizzard: Playing @example’s new album on repeat all day... could not have picked a better day to release these bangers!! 😎☀️🙌🏻 #he…,example,2022-06-17 14:02:35+00:00
RT @jessicapaynexx: We may grow old but we never grow up - what an album @example 😍,example,2022-06-17 11:37:54+00:00
A one off new album showcase… on my old stomping ground in Kingston. Grab your CD’s and gig tickets tomorrow morn. I’ll be meeting EVERY PERSON who comes to this gig 😉 https://t.co/0oyEAUyLQU,example,2022-06-17 11:37:48+00:00
Yep 👀 https://t.co/jvzRkXRTM4,example,2022-06-17 11:36:08+00:00
If you ain’t heard JME &amp; Example on a track together before 👀👀👀 https://t.co/IeCFu00k92,example,2022-06-17 10:43:47+00:00
"‘Original’ - taken from my new album ‘We May Grow Old But We Never Grow Up’ - OUT NOW

Click here to listen to the full track and the rest of the album: https://t.co/POg9YUuuQe https://t.co/WUZlxUQ0Ju",example,2022-06-17 10:42:24+00:00
This was one of my fav chats of my career https://t.co/QkaPGacAfW,example,2022-06-16 22:31:52+00:00
"‘We May Grow Old But We Never Grow  Up’

Album out in half hour ! If you’re staying awake for it I appreciate you. 

(Or if you’re in Australia - like me - the album should already be in your ears) https://t.co/74Wma08YCz",example,2022-06-16 22:31:41+00:00
The last few signed CD’s are exclusively available on Amazon https://t.co/UW1UMY0GYR https://t.co/qvHm0Ej7iq,example,2022-06-16 06:08:09+00:00
"Album 8 tomorrow … (or midnight tonight if you’re staying up for it) 

Pre-save/pre-add to your library now: https://t.co/POg9YUuuQe https://t.co/z5HcUcESKq",example,2022-06-16 06:05:56+00:00
"RT @example: Album 8 comes out this Friday … here’s a preview of some more unheard bits … 

Pre-save etc here: https://t.co/POg9YUuuQe

😘 h…",example,2022-06-14 23:47:23+00:00
@jamiecoombes6 It’s signed by me,example,2022-06-14 23:44:28+00:00
FRIDAY https://t.co/pwGS6vPGLl,example,2022-06-14 10:36:27+00:00
"RT @BanquetRecords: EXAMPLE IS BACK

with firm roots in SW London, the international hit factory Example is back with new album We May Grow…",example,2022-06-14 10:35:55+00:00
In case you missed the new album preview yesterday … few bars for you … https://t.co/6FirBBD8y5,example,2022-06-14 08:57:43+00:00
"RT @example: Entering the last week of my thirties. Turn 40 next Monday 
On the left is yesterday. On the right is me at 30 (looking like a…",example,2022-06-14 08:57:20+00:00
@RubenLIVE 🤣,example,2022-06-14 01:45:54+00:00
@Rylan 💙😘,example,2022-06-14 01:45:44+00:00
Big news for me … especially if you’re Brisbane / Aus based ☺️🤌 https://t.co/z0Xv2yacG8,example,2022-06-14 01:44:37+00:00
Coming back to Europe next week for another 30+ shows … all these pics were taken over the last month. Festival season is now well underway and covid season is long gone https://t.co/JK9qE7hcMd,example,2022-06-13 12:19:57+00:00
"Thanks to the 1000’s of people who’ve ordered the new album on CD and vinyl. And the hundreds who’ve bought SOCKS 🤌🏆

Anyone who’s missed out go here: https://t.co/POg9YUuuQe https://t.co/TBiAO8tUKs",example,2022-06-13 12:16:36+00:00
"Entering the last week of my thirties. Turn 40 next Monday 
On the left is yesterday. On the right is me at 30 (looking like a member of the Cullen family 🤣) https://t.co/jLuFSjfwS8",example,2022-06-13 12:14:02+00:00
"Album 8 comes out this Friday … here’s a preview of some more unheard bits … 

Pre-save etc here: https://t.co/POg9YUuuQe

😘 https://t.co/DSgJPh97lP",example,2022-06-13 12:09:50+00:00
Buzzing for @CreamfieldSouth this Saturday … 8pm 🎉🎉🎉 https://t.co/uKb5FySs9t,example,2022-05-31 13:01:37+00:00
It’s @nbhdweekender today and then onto Ibiza … playing @ibizarocks Monday with @MajesticOnline https://t.co/TipyQnhObr,example,2022-05-28 08:57:05+00:00
"London to Amsterdam to Manchester to Bangor Wales to Ibiza 🌪🌪. Quite the 48 hours 

Nox Festival, Eindhoven yesterday was a vibe https://t.co/b5yQGeBXRV",example,2022-05-28 08:54:15+00:00
On at 9pm today in Manchester https://t.co/DfTtltxikh,example,2022-05-21 15:23:11+00:00
"RT @example: Just announced the tracklist and featured artists / producers for my 8th album … JME, What So Not, Tommy Trash, Kanine, Bou, M…",example,2022-05-21 15:22:44+00:00
If you missed this yesterday … me hosting “Party Like It’s 2011” for @BBCSounds https://t.co/EmNiD6RUaq,example,2022-05-21 15:22:31+00:00
"RT @example: ‘DEEP’ Official Video

Example X Bou feat Nonô OUT NOW

Full vid: https://t.co/BqUiLVXvaK https://t.co/DHnpdpUhhP",example,2022-05-21 15:21:42+00:00
"RT @BBCSounds: ""A little band called One Direction released their first single..."" 😝
What's your favourite moment from 2011? 

Our Party Li…",example,2022-05-20 17:01:27+00:00
Thanks as always for the support 🇳🇿 https://t.co/hThwztYfXo,example,2022-05-20 11:42:43+00:00
@eleanor_grover 24th,example,2022-05-20 11:42:09+00:00
@sheinwai10 The last album had 2 political songs out of 15,example,2022-05-20 11:40:47+00:00
It’s cos I’m not over singing for once 🤣🤣🤣 thanks mate https://t.co/Qn4n0phyud,example,2022-05-20 11:40:01+00:00
"‘DEEP’ Official Video

Example X Bou feat Nonô OUT NOW

Full vid: https://t.co/BqUiLVXvaK https://t.co/DHnpdpUhhP",example,2022-05-20 11:19:48+00:00
In case you missed the tracklist and features announce for my new album yesterday … https://t.co/Lo3oQ8zcF3,example,2022-05-10 09:10:23+00:00
"RT @example: Whether you wanna get just a hoodie OR a CD plus tee OR a CD &amp; vinyl OR THE FULL PACKAGE … I have the album bundle for you 

P…",example,2022-05-09 18:28:07+00:00
BRIGHTON gig this summer with the lads @_TheManor https://t.co/JE22IzuPw5,example,2022-05-09 15:27:04+00:00
"Whether you wanna get just a hoodie OR a CD plus tee OR a CD &amp; vinyl OR THE FULL PACKAGE … I have the album bundle for you 

Pre-order here now

https://t.co/41tOw2eSIo https://t.co/xYAeifW7dV",example,2022-05-09 15:25:54+00:00
"Just announced the tracklist and featured artists / producers for my 8th album … JME, What So Not, Tommy Trash, Kanine, Bou, Majestic, Local, Nonô, Nerve, Window Kid + MORE

Pre-order CD/Vinyl here: https://t.co/41tOw1WJug https://t.co/e0ihJMyaxY",example,2022-05-09 13:29:11+00:00
"RT @example: My biggest summer ever … there’s no slowing down the old boy yet … 

Flying to the UK tonight and I kick things off next Satur…",example,2022-05-09 07:37:39+00:00
"RT @example: ‘DEEP’

Myself &amp; Bou feat Nonô 

OUT NOW 

https://t.co/vU9GJaQMzm https://t.co/7lcWEQwTdX",example,2022-05-09 07:37:27+00:00
And my new single … in case you missed it Friday … https://t.co/t4fzWJKzMQ,example,2022-05-08 10:42:00+00:00
"My biggest summer ever … there’s no slowing down the old boy yet … 

Flying to the UK tonight and I kick things off next Saturday 🏆🇬🇧 https://t.co/yoFL5AVFyR",example,2022-05-08 10:41:34+00:00
"‘DEEP’

Myself &amp; Bou feat Nonô 

OUT NOW 

https://t.co/vU9GJaQMzm https://t.co/7lcWEQwTdX",example,2022-05-07 13:51:55+00:00
RT @capitaldance: a DREAMTEAM @example #bou @nonomusic ✨ https://t.co/oAXqi1ydGi,example,2022-05-07 13:49:50+00:00
"RT @example: My brand new single ‘DEEP’ with Bou &amp; Nonõ is OUT NOW everywhere 

(Official video coming next week 😜)

https://t.co/vU9GJaQMz…",example,2022-05-07 05:47:11+00:00
"‘We May Grow Old But We Never Grow Up’

My 8th album. JUNE 17th

Pre-order CD &amp; Vinyl from Monday. Globally 

Tag someone who needs to know about this https://t.co/KCX71W4GBk",example,2022-05-06 07:31:38+00:00
RT @example: You can call it my 8th album or my 13th long player … tomorrow … Friday … I announce the artwork and title of my latest projec…,example,2022-05-05 22:57:15+00:00
"… You can also pre-order it worldwide - CD, Vinyl … or just get it saved for streaming on June 17th when it’s all released",example,2022-05-05 08:17:40+00:00
You can call it my 8th album or my 13th long player … tomorrow … Friday … I announce the artwork and title of my latest project https://t.co/SObTbLC5Cx,example,2022-05-05 08:17:30+00:00
"RT @stereoboard: ""Nonõ is like my little sis, we share some incredible artistic moments and with her melody I wrote the words and the whole…",example,2022-05-04 13:13:47+00:00
RT @SlipieJones: Deep in your eyes...🎵,example,2022-05-04 13:13:35+00:00
"RT @danielwoolnough: What. An. Absolute. Banger. @example 
https://t.co/DqQmJc2Lyv",example,2022-05-04 13:13:30+00:00
"My brand new single ‘DEEP’ with Bou &amp; Nonõ is OUT NOW everywhere 

(Official video coming next week 😜)

https://t.co/vU9GJaQMzm https://t.co/auRZbQOqMG",example,2022-05-04 07:20:03+00:00
"RT @example: Example &amp; @kanineuk - ‘Never Let You Down’

OUT NOW everywhere https://t.co/eZsONu3WtP https://t.co/nPOoWy1BI6",example,2022-03-23 10:29:06+00:00
"RT @example: Tour Merch is up now on my store … 

Order the lanyard now… will arrive next week… then use the code on the back to pre-order…",example,2022-03-10 05:59:23+00:00
"This Merch is purely UK delivery only

We are launching a capsule collection for GLOBAL shipping in April https://t.co/ir39APf7ul",example,2022-03-08 08:22:43+00:00
"Tour Merch is up now on my store … 

Order the lanyard now… will arrive next week… then use the code on the back to pre-order the album, delivered + SIGNED with an exclusive tour print, week of release in June 

https://t.co/KXEWlJUUqL https://t.co/snN50euQN4",example,2022-03-08 08:21:20+00:00
"It’s also Matt Reeves’ best film. And he has quote the CV
Was maybe 20mins too long but hard to know what they could’ve cut 
Going to see it again next week 
88 Popcorns 🍿",example,2022-03-04 05:17:14+00:00
"The Batman …
Basically a 3 hour detective thriller. Shades of Se7en and Zodiac
Best screen representation of Gotham City ever 
All acting, costumes, casting SOLID
The real star are the cinematographer and the score 
👏👏👏 to Greg Fraser &amp; Giacchino",example,2022-03-04 05:17:14+00:00
@jacobflynn9 @liamchennells Hahahaha,example,2022-03-02 11:02:06+00:00
😘😘 thanks mate. Gonna be my busiest summer since 2015 … always gotta keep the dream alive https://t.co/h5NGrfwHtY,example,2022-03-02 11:01:56+00:00
RT @example: Anyone still thinking about Brixton Academy last weekend … you can relive it here … https://t.co/YSleqq1jMB,example,2022-02-22 23:57:07+00:00
RT @example: Last week Brixton Academy … this week Elabana Falls https://t.co/TfBWsuL0Ol,example,2022-02-20 01:11:53+00:00
Anyone still thinking about Brixton Academy last weekend … you can relive it here … https://t.co/YSleqq1jMB,example,2022-02-19 20:16:26+00:00
Last week Brixton Academy … this week Elabana Falls https://t.co/TfBWsuL0Ol,example,2022-02-19 07:58:25+00:00
Next week. Will all be on my online store 🥳 https://t.co/MwO1B9IaSk,example,2022-02-16 06:24:25+00:00
Me neither … ❤️ https://t.co/pCd8TitGK6,example,2022-02-16 06:24:04+00:00
RT @example: New single has gone off every night of the tour … thank you all for the support … looks like the next single is gonna be more…,example,2022-02-16 02:54:36+00:00
"Wrote this last sunday

Bou came to Manchester gig. Went home and wrote me a banger 

I recorded it Wednesday

We performed it in Brum and LDN

It’s out end April 👀 https://t.co/ZOB3IghD2V",example,2022-02-14 22:01:17+00:00
"RT @dmiski: Tonight I fell in love with @example all over again. Tonight I fell in love with gigs all over again. 
Thank you for 15 years o…",example,2022-02-14 22:00:16+00:00
@avgraphicss You okay now ?,example,2022-02-14 21:59:53+00:00
@Cam3Evans Thank you x,example,2022-02-14 21:59:09+00:00
@djwillyjones @o2academybham @samuelwire @MickySlim @MACCA060976 @papparast @clever_jonny Lovely to see you bro,example,2022-02-14 21:58:06+00:00
@lilasullivan78 @O2academybrix 😘😘,example,2022-02-14 21:56:55+00:00
RT @Ravsta87: Won tickets to see @example @o2academybham last night. Safe to say it turned out to be an absolute rave. https://t.co/IJg8wyy…,example,2022-02-14 21:56:01+00:00
I’m only doing what I know. Here to please you lot. Not myself x https://t.co/QnrID54NwR,example,2022-02-14 21:55:43+00:00
@CPalethorpe25 @O2academybrix You take a great snap !,example,2022-02-14 21:55:15+00:00
Thank you for a lifetime of support x https://t.co/t21oD8goHC,example,2022-02-14 21:54:22+00:00
@Penny_Wilson975 🥰,example,2022-02-14 21:52:48+00:00
@MarkHil10062095 I did,example,2022-02-14 21:52:02+00:00
RT @radikalzee: Many examples of @example https://t.co/lvPLHRnBo5,example,2022-02-14 21:51:49+00:00
Thanks to you and everyone else who’s waited in line outside the venues in the cold to meet me for a photo and signing this tour xx https://t.co/9xd4hezsua,example,2022-02-14 21:51:40+00:00
Easy to do. You’re an amazing charity and close to my heart. Thank you for coming down mate 💙 https://t.co/s4w7vCNGSM,example,2022-02-14 21:49:29+00:00
"Next tour will be 2023 

Let me get summer festivals out the way first and then we’ll announce 😜 https://t.co/LwS9Pzlh5e",example,2022-02-14 21:48:50+00:00
@Thomoncfc 🤣🤣🤣🤣🤣,example,2022-02-14 21:47:54+00:00
@DrGemmaGraham Loved it. Was just injured the whole show,example,2022-02-14 21:46:28+00:00
New single has gone off every night of the tour … thank you all for the support … looks like the next single is gonna be more DnB too 👀👀 https://t.co/g8micBWvoc,example,2022-02-14 21:45:35+00:00
"… I’ve been making music for 20 years now, touring for 16 years. It honestly blows my mind that I still get to do this as a day job. All I ever want to do is deliver you lot the best show https://t.co/E2eSsmCBLV",example,2022-02-14 21:42:43+00:00
BRIXTON Saturday just gone … one of the best nights of my life. Thank you to everybody who came down to support me … back to Australia tomorrow to see my wife and kids. Been the trip of a lifetime … https://t.co/chb7e2Z5FM,example,2022-02-14 21:42:40+00:00
"BRIXTON ACADEMY TONIGHT 

Still some tickets available on the door. Or from this link https://t.co/bPnEv6PclT https://t.co/w2tYHoBpi0",example,2022-02-12 14:42:10+00:00
New single last night filmed from the moshpit … https://t.co/F6TpPyd5mj,example,2022-02-12 14:41:42+00:00
Birmingham last night 🤯 https://t.co/UmVIVFDhSW,example,2022-02-12 14:40:46+00:00
Thanks for waiting guys 💙 https://t.co/KFP6NTj6oT,example,2022-02-10 17:39:15+00:00
When people ask me how the new single is going down … https://t.co/0tNMaIgm1V,example,2022-02-10 17:39:14+00:00
"First time it’s ever happened during one of my shows. Didn’t know what to do. Crowd were amazing. Sorry I had to end the gig early but the girls life was way more important than all of us. Thanks for being so understanding Norwich 

Latest update: the girl is okay https://t.co/7LQD6Fw5TB",example,2022-02-08 22:23:53+00:00
"RT @vaseysvoyages: Unreal night last night seeing @example live at the @o2academynewc 🔥🙌🏻

Can’t believe it was the last ever live show at…",example,2022-02-08 20:00:53+00:00
FASHUN with @callumshots https://t.co/Tyzf5Bc5vH,example,2022-02-08 20:00:16+00:00
On stage in 90mins in NORWICH … still 100 tickets available on the door https://t.co/JJ4QLG7BBq,example,2022-02-08 18:58:02+00:00
"New single doing the business …

‘Never Let You Down’ OUT NOW https://t.co/u2WmDA0LZz",example,2022-02-08 18:57:42+00:00
Kickstarts still doing the business … https://t.co/oqAWCtvv8h,example,2022-02-08 18:56:21+00:00
NEWCASTLE O2 Academy last night. That was the perfect send off. Last ever live show in that venue 💔🥳 https://t.co/a1gBUspRd4,example,2022-02-08 18:55:01+00:00
You lot loving the new one … https://t.co/HSQCyrxvvU,example,2022-02-08 16:36:58+00:00
NORWICH …. I’m here… last few tickets on the door for UEA tonight https://t.co/7HQZDL1Iwv,example,2022-02-08 15:33:49+00:00
In half an hour I’m about to be the last artist to play a live show in Newcastle Academy 💔💔 please RT - anyone who’s ever performed here or seen a live show here 🥳 https://t.co/HlBHKeofCS,example,2022-02-07 20:58:06+00:00
RT @example: Nottingham was a little bit 🤯🤯🤯 https://t.co/1Kq7ZhhNV9,example,2022-02-07 19:06:48+00:00
